MONTH,INFLOW,OUTFLOW,NET_CASH_FLOW
2024-05-01 00:00:00.000,0,0,0
2024-04-01 00:00:00.000,0.03027011646,-1503.023202037,-1502.992931921
2024-03-01 00:00:00.000,149.520246492,-387241.511256154,-387091.991009663
2024-02-01 00:00:00.000,236.736560934,-4131.307927164,-3894.57136623
2024-01-01 00:00:00.000,166.257710317,-20628.660527579,-20462.402817261
2023-12-01 00:00:00.000,275.958887749,-6027.32582036,-5751.366932611
2023-11-01 00:00:00.000,232.05764977,-70.517475246,161.540174524
2023-10-01 00:00:00.000,56.148408782,-12034.38738043,-11978.238971647
2023-09-01 00:00:00.000,27972.024933538,-1614.209916419,26357.815017119
2023-08-01 00:00:00.000,105.235795055,-9024.909883629,-8919.674088574
2023-07-01 00:00:00.000,83.454895213,-1560.155526491,-1476.700631278
2023-06-01 00:00:00.000,13.189066056,-7293.964066056,-7280.775
2023-05-01 00:00:00.000,65.538226724,-9510.926441609,-9445.388214886
2023-04-01 00:00:00.000,189.238898535,-1651.023002683,-1461.784104148
2023-03-01 00:00:00.000,18122.974625857,-83193,-65070.025374143
2023-02-01 00:00:00.000,1342.218049126,-78509.119041915,-77166.900992789
2023-01-01 00:00:00.000,2912.8519567,-48900,-45987.1480433
2022-12-01 00:00:00.000,3810.048371368,-7060.092520382,-3250.044149014
2022-11-01 00:00:00.000,592374.033095896,-507629.07,84744.963095896
2022-10-01 00:00:00.000,1158.145177948,-110698.498625,-109540.353447052
2022-09-01 00:00:00.000,1198.157467604,-377805,-376606.842532396
2022-08-01 00:00:00.000,356940.662326554,-203003.616621124,153937.04570543
2022-07-01 00:00:00.000,781943.532488322,-854404.142319214,-72460.609830892
2022-06-01 00:00:00.000,373010.409223301,-2633917.8103653,-2260907.401142
2022-05-01 00:00:00.000,300569.523629754,-172743.964869664,127825.55876009
2022-04-01 00:00:00.000,179956.34464449,-82033.706330848,97922.638313642
2022-03-01 00:00:00.000,57874.038429001,-6405.870227097,51468.168201904
2022-02-01 00:00:00.000,67512.874855929,-51967.486193663,15545.388662266
2022-01-01 00:00:00.000,1093722.20099105,-28963.007952795,1064759.19303825
2021-12-01 00:00:00.000,369319.290892765,-402076.747755902,-32757.456863137
2021-11-01 00:00:00.000,10772288.1456823,-44398.56482244,10727889.5808599
2021-10-01 00:00:00.000,134880.872898724,-246875.046767155,-111994.173868431
2021-09-01 00:00:00.000,49792.032055939,0,49792.032055939
2021-08-01 00:00:00.000,406785.071107451,-1074.114344076,405710.956763375
2021-07-01 00:00:00.000,0,0,0
﻿
